customer_id,age,gender,city,account_tenure_months,credit_limit,credit_score,utilization_ratio,total_transactions,total_spend,avg_transaction_value,max_transaction_value,total_repayments,total_repaid,avg_payment_delay,max_payment_delay
100000,59,Male,Hyderabad,94,150000.00,337,0.27,8,93309.21,3887.883750,14610.58,3,359086.88,11.6667,15
100001,49,Male,Chennai,110,150000.00,438,1.10,3,65871.05,3136.716667,5308.23,7,228444.63,14.2857,30
100002,35,Male,Hyderabad,59,50000.00,494,0.65,3,30416.10,3379.566667,8030.67,3,65776.47,15.0000,15
100003,63,Female,Bengaluru,79,200000.00,826,0.96,7,29778.98,2127.070000,6612.35,2,225736.21,15.0000,30
100004,28,Male,Hyderabad,27,75000.00,300,0.31,5,8275.33,1655.066000,6433.93,1,52502.20,0.0000,0
100005,41,Male,Mumbai,88,50000.00,NULL,0.61,3,16571.71,5523.903333,9348.11,1,52477.89,10.0000,10
100006,59,Female,Kolkata,70,200000.00,395,0.46,7,44176.46,3155.461429,6362.22,2,72758.49,5.0000,5
100007,39,Female,Chennai,69,75000.00,712,1.00,4,31832.44,3979.055000,8369.00,2,108303.64,0.0000,0
100008,43,Male,Mumbai,76,150000.00,837,0.08,7,56826.98,4059.070000,8199.65,2,156734.34,12.5000,15
100009,31,Female,Hyderabad,9,75000.00,728,0.33,6,19498.52,3249.753333,11777.14,0,NULL,NULL,NULL
100010,31,Male,Bengaluru,70,300000.00,534,0.23,4,80401.62,3350.067500,6494.13,6,265651.44,17.5000,30
100011,44,Male,Delhi,20,100000.00,648,1.04,6,36739.77,2041.098333,7670.66,3,263499.06,5.0000,10
100012,56,Male,Pune,109,75000.00,780,0.59,2,10915.37,5457.685000,9186.09,1,5581.58,5.0000,5
100013,60,Male,Kolkata,81,100000.00,695,0.51,3,114505.20,7633.680000,15396.31,5,177207.36,4.0000,15
100014,44,Female,Pune,27,75000.00,650,0.57,4,52999.22,6624.902500,10418.14,2,24777.96,10.0000,10
100015,23,Male,Hyderabad,91,100000.00,715,1.17,8,29607.38,3700.922500,9157.08,1,14585.12,0.0000,0
100016,42,Female,Kolkata,119,300000.00,350,1.03,11,75695.08,3440.685455,9216.47,2,169388.89,7.5000,10
100017,22,Female,Kolkata,52,150000.00,NULL,0.86,10,93180.81,3106.027000,8444.94,3,279170.30,10.0000,30
100018,44,Female,Bengaluru,86,200000.00,335,0.38,8,25436.85,3179.606250,6992.69,1,106665.04,5.0000,5
100019,64,Female,Kolkata,98,100000.00,366,0.24,2,1539.29,769.645000,1445.12,1,19879.66,10.0000,10
100020,50,Male,Chennai,51,300000.00,780,1.11,6,27711.70,4618.616667,11731.08,1,51309.36,15.0000,15
100021,58,Female,Mumbai,19,100000.00,NULL,0.54,2,37890.90,3157.575000,3184.18,6,128983.06,7.5000,30
100022,22,Male,Mumbai,55,150000.00,441,0.37,4,31890.48,3986.310000,9028.30,2,117192.40,7.5000,15
100023,41,Female,Mumbai,25,100000.00,655,0.59,6,61359.69,3408.871667,11049.46,3,290109.72,1.6667,5
100024,53,Female,Chennai,55,300000.00,770,1.11,6,44676.42,3723.035000,9749.07,2,79890.60,15.0000,30
100025,32,Male,Pune,117,300000.00,890,0.50,3,17770.35,1974.483333,3599.03,3,26835.54,13.3333,30
100026,42,Male,Bengaluru,38,50000.00,738,0.70,7,40423.44,2887.388571,9651.48,2,88020.52,7.5000,15
100027,64,Male,Kolkata,64,150000.00,830,0.97,11,121929.52,5542.250909,18262.75,2,367122.36,15.0000,15
100028,45,Female,Chennai,48,50000.00,426,0.54,9,85269.12,4737.173333,10940.88,2,238393.80,2.5000,5
100029,69,Female,Mumbai,84,150000.00,NULL,0.32,4,152657.54,5452.055000,10708.72,7,277853.52,13.5714,30
100030,47,Male,Hyderabad,17,100000.00,328,1.19,9,30224.38,1679.132222,5215.79,2,194082.03,15.0000,30
100031,62,Male,Delhi,45,300000.00,744,1.15,8,85099.00,2127.475000,4341.32,5,403199.68,8.0000,15
100032,48,Male,Kolkata,25,50000.00,763,1.02,7,103437.05,2955.344286,7415.12,5,284634.07,1.0000,5
100033,36,Male,Chennai,99,100000.00,579,0.84,8,34978.66,2186.166250,4944.39,2,208988.40,12.5000,15
100034,35,Female,Chennai,43,300000.00,450,0.39,3,86370.95,5758.063333,16872.65,5,157034.55,5.0000,15
100035,67,Male,Bengaluru,8,150000.00,539,1.10,7,93069.10,2659.117143,5028.36,5,303591.89,5.0000,15
100036,64,Male,Bengaluru,33,300000.00,565,0.37,1,4562.92,4562.920000,4562.92,1,12469.41,0.0000,0
100037,23,Male,Chennai,61,100000.00,404,0.97,6,53244.09,2958.005000,8401.95,3,196872.06,5.0000,15
