customer_id,transaction_category,category_spend,category_transactions
100325,utilities,12259.66,3
101718,electronics,17424.98,1
100948,entertainment,12787.16,4
100015,fuel,3095.90,2
100110,entertainment,1579.64,3
100871,utilities,1269.08,2
100712,electronics,6786.47,1
100106,fuel,19129.67,2
100378,grocery,8480.36,3
100161,utilities,13064.66,2
100282,grocery,1507.72,1
100268,dining,3457.21,1
100483,dining,7578.11,2
100666,entertainment,4398.90,2
101096,"online shopping",3502.41,1
101220,entertainment,10786.71,3
101266,fuel,4408.08,2
100597,electronics,3910.80,1
100798,"online shopping",46177.43,2
101282,entertainment,9043.45,2
100797,dining,6618.86,2
101172,utilities,2097.52,1
101890,utilities,7872.24,4
100389,dining,1041.09,1
100415,groceries,17430.36,2
100425,travel,822.95,2
100996,fuel,15326.05,2
101725,travel,1731.64,1
101240,electronics,123.85,1
101951,groceries,3325.75,2
100866,electronics,1155.31,1
100085,fuel,349.43,2
101239,dining,1215.37,1
100422,"online shopping",1218.96,1
101343,entertainment,10106.18,2
100117,grocery,7216.46,2
101949,"online shopping",4758.93,2
100958,grocery,671.59,2
100881,fuel,18.52,1
100991,entertainment,8459.89,2
100414,electronics,1440.26,1
100598,entertainment,13816.78,3
100039,grocery,1283.71,1
101184,entertainment,14891.65,2
100702,dining,1326.35,1
100536,groceries,3251.44,1
100419,entertainment,12873.17,5
100663,entertainment,2552.90,1
100094,entertainment,3030.68,1
101465,electronics,706.65,1
101958,electronics,2397.36,2
101581,grocery,14461.98,2
100972,"online shopping",7831.01,1
100649,groceries,16345.65,3
101489,entertainment,6907.85,1
100287,electronics,351.54,1
101888,utilities,4574.59,1
101699,entertainment,6850.03,2
100411,electronics,2714.00,1
100399,travel,5065.82,1
100527,"online shopping",119.18,1
101041,utilities,4154.20,1
100135,dining,1997.43,1
101487,entertainment,2027.32,1
100758,dining,8323.53,1
101271,grocery,6874.81,1
100842,fuel,207.39,1
100709,entertainment,7872.31,2
101024,dining,4887.20,2
101725,dining,438.74,1
100380,grocery,9686.97,2
100508,groceries,1918.93,2
101483,fuel,114.18,1
101528,travel,2278.88,2
100805,utilities,8130.96,4
100475,entertainment,219.84,1
101580,electronics,3588.55,1
100953,dining,10382.78,4
100848,fuel,4580.38,3
100896,utilities,1542.55,2
100031,"online shopping",4703.74,2
101927,utilities,4054.08,2
100117,entertainment,3115.12,3
101831,entertainment,10489.45,3
101207,grocery,347.20,1
100190,electronics,1312.62,2
101770,electronics,7069.64,2
101773,dining,265.02,1
101751,travel,1686.27,1
100073,utilities,23831.49,7
100622,electronics,11553.32,1
101126,utilities,15047.33,3
100870,fuel,10032.56,2
100585,entertainment,6389.30,2
100472,entertainment,13555.82,2
101787,electronics,2915.42,1
100113,grocery,1549.71,1
101402,entertainment,1630.16,1
101336,groceries,2917.15,1
100329,fuel,5802.25,1
100338,grocery,502.14,1
100237,electronics,10418.14,2
101196,electronics,5455.08,1
100078,"online shopping",4312.86,2
100463,entertainment,13687.35,3
101921,groceries,13154.03,1
100604,grocery,1013.40,1
101987,entertainment,756.12,1
101524,dining,6883.76,2
100561,entertainment,16824.45,5
100284,electronics,49.22,1
100222,groceries,13222.61,2
100592,entertainment,855.22,1
101289,entertainment,10481.01,5
101690,electronics,4115.89,2
100372,dining,6098.75,1
101256,entertainment,11914.89,2
100910,entertainment,9417.66,2
100827,utilities,3180.66,2
100235,dining,3170.55,1
100670,utilities,9841.21,3
101940,"online shopping",8453.49,2
100827,travel,1189.38,1
100762,grocery,9589.51,2
101337,travel,2598.40,1
101960,groceries,286.52,1
101965,electronics,1.83,1
101836,entertainment,71.85,1
100379,"online shopping",276.46,1
100793,entertainment,1934.32,2
100613,utilities,1276.81,1
100562,fuel,2542.29,3
