customer_id,ym,monthly_spend,monthly_transactions
100325,2025-07,5935.63,1
101718,2025-04,17424.98,1
100948,2025-02,3514.02,1
100015,2025-10,1665.36,1
100110,2025-12,863.63,1
100871,2025-06,775.85,1
100712,2025-07,7063.45,3
100106,2025-02,21372.80,4
100378,2025-03,4190.54,1
100161,2025-05,10918.90,1
100282,2025-02,1507.72,1
100268,2025-01,3457.21,1
100483,2025-04,7578.11,2
100666,2025-12,2302.35,1
101096,2025-01,8206.09,2
101220,2025-03,1300.44,1
101266,2025-03,3581.84,1
100597,2025-12,3910.80,1
100798,2025-09,47976.48,3
101282,2025-04,4588.91,1
100797,2025-11,1348.66,1
101172,2024-12,2097.52,1
101890,2025-09,3913.27,2
100389,2025-09,1041.09,1
100415,2025-03,2575.79,1
100425,2025-05,1028.62,2
100996,2025-11,6662.76,2
101725,2025-10,1731.64,1
101240,2025-03,123.85,1
101951,2024-12,1994.83,1
100866,2025-02,1155.31,1
100085,2025-04,17812.21,3
101239,2025-02,1511.88,2
100422,2025-01,9614.69,3
101343,2025-01,25904.17,3
100117,2025-12,1597.60,1
101949,2025-02,1966.01,1
100958,2025-07,337.63,1
100881,2025-12,18.52,1
100991,2025-11,4661.42,1
100414,2025-05,4562.09,2
100598,2025-08,3328.19,1
100039,2025-08,1283.71,1
101184,2025-02,14694.62,2
100702,2025-08,1326.35,1
100536,2025-11,6651.00,2
100419,2025-09,2610.44,2
100663,2025-02,2552.90,1
100094,2025-06,3030.68,1
101465,2025-10,706.65,1
101958,2025-09,461.99,1
101581,2025-04,15787.89,3
100972,2025-02,7831.01,1
100649,2025-11,10238.54,2
101489,2025-09,6907.85,1
100287,2025-07,351.54,1
101888,2025-04,11797.83,4
101699,2025-10,3511.78,2
100411,2025-03,2714.00,1
100399,2025-10,5065.82,1
100527,2025-07,119.18,1
101041,2025-03,4154.20,1
100135,2025-05,1997.43,1
101487,2024-12,2027.32,1
100758,2025-02,16157.95,3
101271,2025-07,6874.81,1
100842,2025-11,207.39,1
100709,2025-01,3371.06,1
101024,2025-08,2991.01,2
101725,2025-06,438.74,1
100380,2025-04,6664.54,1
100508,2025-05,1918.93,2
101483,2025-02,114.18,1
101528,2025-07,770.15,1
100805,2025-06,5531.49,2
100475,2025-01,1863.96,2
101580,2025-07,3588.55,1
100953,2025-12,2011.60,1
100848,2025-08,3209.98,2
100896,2025-08,549.68,1
100031,2025-11,5296.69,3
101927,2025-06,7200.30,2
100117,2024-12,7312.61,2
101831,2025-05,2732.26,2
101207,2025-02,347.20,1
100190,2025-10,1057.22,1
101770,2025-10,3851.49,1
101773,2025-05,416.89,2
101751,2025-03,2968.34,2
100073,2025-10,4347.96,2
100622,2025-03,11553.32,1
101126,2025-08,8092.25,3
100870,2025-10,9285.28,2
100585,2025-09,10959.72,2
100419,2025-01,3158.95,2
100472,2025-04,10151.33,2
101787,2025-06,6027.97,2
100113,2025-10,10869.13,2
101402,2025-10,10898.04,2
101336,2025-02,2917.15,1
100329,2025-04,5802.25,1
100338,2025-07,4105.97,2
100237,2025-03,140.20,1
101196,2024-12,5455.08,1
100078,2025-08,3650.38,1
100463,2025-09,6027.37,1
101921,2025-05,13154.03,1
100604,2025-08,1013.40,1
101987,2025-09,6797.89,2
101524,2025-02,17852.79,2
100561,2025-08,8872.75,2
100284,2025-11,49.22,1
100222,2025-01,13318.89,3
100592,2024-12,855.22,1
101289,2025-03,1650.15,1
101690,2025-02,4115.89,2
100372,2024-12,8149.70,2
101256,2025-01,4997.85,2
100910,2025-08,6366.96,1
100827,2025-11,6233.51,2
100235,2025-07,13391.07,2
100670,2025-11,2535.91,1
101940,2025-07,2253.43,1
100827,2024-12,1189.38,1
100762,2025-01,4323.17,1
101337,2025-10,2598.40,1
101960,2025-07,923.77,2
101965,2025-05,1.83,1
101836,2025-10,6504.02,2
100379,2025-03,276.46,1
100793,2025-05,7530.39,2
100613,2025-04,5170.11,2
100562,2025-04,596.27,1
100419,2025-06,3214.69,2
100051,2025-01,12294.18,1
101744,2025-12,613.14,1
100818,2025-07,1547.09,2
101666,2025-04,5334.31,2
101532,2025-09,3583.96,1
101805,2025-06,3209.21,1
101968,2025-12,2577.65,1
100204,2025-04,13076.44,3
101000,2025-09,6546.57,1
100730,2025-06,24063.19,1
100256,2025-12,9544.08,2
100184,2025-07,21458.54,2
100144,2025-11,4589.15,1
101713,2025-10,3920.47,2
101037,2025-02,10463.74,3
100245,2025-04,8456.87,1
100186,2025-01,10443.97,2
101360,2025-04,688.15,1
101282,2025-11,4762.50,2
100865,2025-06,10070.02,2
100039,2025-02,1685.07,1
100600,2025-11,926.96,1
101660,2025-03,379.09,1
100961,2025-05,6472.17,3
101441,2025-05,6588.91,2
100985,2025-04,761.58,1
101374,2025-05,13781.18,3
100008,2025-01,8045.74,1
100349,2025-11,977.05,1
100083,2025-06,4237.27,2
100532,2025-07,7852.87,2
100988,2025-03,8687.94,1
101816,2025-10,1981.30,2
100357,2025-09,4734.72,2
100377,2025-11,5405.57,2
100171,2025-12,11583.91,2
101048,2025-10,6073.65,1
100392,2025-04,2224.96,1
101126,2025-12,4217.80,1
100701,2025-07,8409.13,3
101259,2025-08,7182.70,2
101433,2025-08,5849.27,2
101848,2024-12,10617.23,2
100548,2025-02,1738.48,1
100783,2025-01,809.23,1
101828,2025-09,8590.52,2
100331,2025-07,421.61,1
101687,2025-02,5063.79,2
100793,2025-04,5889.87,1
101555,2025-05,3043.80,1
100648,2025-11,6112.28,2
100982,2025-05,5321.07,1
101894,2025-07,2420.26,1
101052,2025-07,622.81,1
100542,2025-04,1333.71,1
101042,2025-01,3137.19,1
101171,2025-04,8388.66,2
101494,2025-08,2780.28,1
100490,2025-01,5373.40,3
100282,2025-09,3152.78,1
100861,2025-04,1414.50,1
101876,2025-01,891.77,1
101835,2025-03,10185.28,1
101698,2025-06,1323.53,1
100112,2025-05,1431.16,1
101478,2025-07,7948.00,1
101685,2025-03,538.86,1
101353,2025-03,9500.72,2
101278,2025-05,5358.98,1
101622,2025-05,4746.21,2
101422,2025-02,6504.47,1
100861,2025-07,6423.01,2
100609,2025-05,2330.00,1
101932,2025-01,9922.18,3
100507,2024-12,12285.48,1
101667,2025-08,3425.73,1
100465,2025-07,2547.80,1
100823,2025-02,8917.00,2
101430,2025-09,1914.74,1
100608,2025-07,2902.52,1
101121,2025-07,12736.98,4
100289,2025-11,10329.28,2
100867,2025-06,5180.45,1
101762,2025-02,1035.65,1
101680,2025-01,7355.81,2
101179,2025-10,2499.83,1
100781,2025-04,2972.30,2
100161,2025-01,1770.05,2
100623,2025-08,3652.56,2
101866,2025-10,9396.99,3
101720,2025-07,4013.61,2
100716,2025-07,13217.62,2
101120,2025-08,11906.64,3
101400,2025-07,6714.78,2
100566,2025-06,132.06,1
101473,2025-03,1593.89,1
100993,2025-04,265.24,1
101140,2025-01,8807.14,1
101628,2025-04,4683.88,2
101987,2025-10,9067.75,2
101739,2025-03,2663.84,1
101817,2025-06,15370.47,2
101529,2025-03,2736.37,1
101212,2025-07,1975.91,1
101499,2025-12,11386.63,1
101346,2025-07,15362.89,2
100595,2025-01,137.11,1
101993,2025-07,21630.34,3
101203,2025-12,1626.90,1
101809,2025-06,5193.99,2
