repayment_id,customer_id,payment_date,payment_amount,payment_delay_days
800000,100825,"2025-10-22 14:16:23.311288",17961.40,15
800001,101988,"2025-07-22 14:16:23.311308",6297.35,5
800002,101824,"2025-11-08 14:16:23.311312",2549.78,5
800003,101959,"2025-11-15 14:16:23.311315",2461.52,30
800004,101025,"2025-07-10 14:16:23.311317",11340.20,30
800005,100416,"2025-09-01 14:16:23.311321",6459.01,10
800006,101176,"2025-10-14 14:16:23.311322",5638.67,0
800007,101277,"2025-10-03 14:16:23.311325",4836.91,5
800008,101594,"2025-11-02 14:16:23.311328",11460.90,0
800009,100922,"2024-12-19 14:16:23.311333",11187.86,30
800010,100951,"2025-04-27 14:16:23.311336",8735.10,0
800011,101786,"2025-08-26 14:16:23.311338",3199.58,10
800012,100367,"2025-02-13 14:16:23.311341",18611.50,15
800013,101048,"2025-08-16 14:16:23.311342",8844.75,10
800014,100132,"2025-03-07 14:16:23.311345",2911.02,5
800015,101266,"2025-07-28 14:16:23.311347",1223.04,5
800016,100061,"2025-08-03 14:16:23.311349",3475.57,30
800017,101450,"2025-04-15 14:16:23.311351",6293.96,15
800018,101639,"2025-03-05 14:16:23.311354",12786.82,0
800019,100451,"2025-10-07 14:16:23.311356",19433.25,15
800020,101101,"2025-03-10 14:16:23.311358",5805.32,15
800021,100720,"2025-11-06 14:16:23.311360",15901.18,5
800022,100104,"2025-03-29 14:16:23.311363",18272.03,5
800023,100602,"2025-05-11 14:16:23.311365",8135.67,0
800024,100675,"2025-03-26 14:16:23.311368",5438.84,0
800025,101403,"2025-04-19 14:16:23.311370",10075.80,0
800026,101889,"2025-11-04 14:16:23.311371",17985.89,5
800027,100393,"2025-03-04 14:16:23.311372",714.15,5
800028,101138,"2025-10-12 14:16:23.311373",9989.31,10
800029,101685,"2025-02-10 14:16:23.311375",15273.11,30
800030,100744,"2025-03-24 14:16:23.311376",12222.04,0
800031,100597,"2025-11-12 14:16:23.311377",10198.12,10
800032,101563,"2025-09-22 14:16:23.311379",11295.46,5
800033,100047,"2025-11-22 14:16:23.311380",12575.02,0
800034,100187,"2025-02-27 14:16:23.311382",13800.47,30
800035,101619,"2025-09-09 14:16:23.311383",7445.62,5
800036,101008,"2025-07-20 14:16:23.311384",10588.80,0
800037,101598,"2025-08-04 14:16:23.311385",5834.62,30
800038,100513,"2025-03-23 14:16:23.311386",19687.81,15
800039,100790,"2025-03-13 14:16:23.311388",4152.12,30
800040,101074,"2025-09-08 14:16:23.311393",3437.82,10
800041,100225,"2025-07-18 14:16:23.311395",5742.03,0
800042,101391,"2025-08-22 14:16:23.311397",18441.06,0
800043,101103,"2025-04-23 14:16:23.311399",13347.69,5
800044,100923,"2025-12-01 14:16:23.311401",9390.59,5
800045,101781,"2025-08-08 14:16:23.311403",18545.21,0
800046,101229,"2025-04-11 14:16:23.311405",18052.87,0
800047,100627,"2025-09-24 14:16:23.311407",8331.05,10
800048,100768,"2025-05-20 14:16:23.311409",11491.00,0
800049,101022,"2025-09-04 14:16:23.311411",18154.79,5
800050,101000,"2025-01-15 14:16:23.311413",6728.27,10
800051,101422,"2025-09-10 14:16:23.311415",8446.98,0
800052,101550,"2025-11-07 14:16:23.311418",15963.78,5
800053,101240,"2025-10-19 14:16:23.311422",14123.46,0
800054,101066,"2025-09-22 14:16:23.311424",1448.68,0
800055,101924,"2025-11-05 14:16:23.311427",2788.84,5
800056,100455,"2025-02-13 14:16:23.311430",17002.15,10
800057,100981,"2025-11-27 14:16:23.311431",1079.91,10
800058,101638,"2025-07-19 14:16:23.311432",18438.62,0
800059,100892,"2025-08-18 14:16:23.311434",5799.18,0
800060,101317,"2025-06-29 14:16:23.311435",12168.39,10
800061,101598,"2025-05-21 14:16:23.311436",11509.33,0
800062,101766,"2025-08-07 14:16:23.311438",8226.95,10
800063,101522,"2025-02-21 14:16:23.311439",1113.02,0
800064,100237,"2025-05-13 14:16:23.311440",4253.19,0
800065,101962,"2025-01-18 14:16:23.311442",12491.98,0
800066,101330,"2025-10-14 14:16:23.311443",9204.27,0
800067,100761,"2025-07-12 14:16:23.311444",8569.82,30
800068,101613,"2025-02-20 14:16:23.311446",2405.21,0
800069,101618,"2025-08-26 14:16:23.311447",7268.98,15
800070,100153,"2025-10-05 14:16:23.311448",10765.40,0
800071,100741,"2025-02-10 14:16:23.311449",2015.01,0
800072,101120,"2025-10-19 14:16:23.311451",1800.57,30
800073,101197,"2025-04-08 14:16:23.311452",10085.29,15
800074,100651,"2025-04-19 14:16:23.311453",11444.42,0
800075,101116,"2025-08-25 14:16:23.311454",5524.01,0
800076,100651,"2025-02-26 14:16:23.311456",6852.44,10
800077,101052,"2025-09-05 14:16:23.311461",16038.97,5
800078,100872,"2025-10-31 14:16:23.311463",17450.10,15
800079,101084,"2025-09-29 14:16:23.311465",6841.96,0
800080,100040,"2025-11-21 14:16:23.311467",7436.43,30
800081,101517,"2025-03-21 14:16:23.311469",16691.37,0
800082,100659,"2025-04-29 14:16:23.311471",19489.77,5
800083,101837,"2025-04-08 14:16:23.311474",6751.57,10
800084,100758,"2025-01-05 14:16:23.311476",15880.17,0
800085,101693,"2025-08-03 14:16:23.311478",9854.00,0
800086,100294,"2025-07-18 14:16:23.311480",5642.70,0
800087,101781,"2025-01-08 14:16:23.311489",13794.81,10
800088,101319,"2025-10-21 14:16:23.311492",9519.73,0
800089,101202,"2025-05-12 14:16:23.311493",5729.17,30
800090,100257,"2025-11-30 14:16:23.311494",2590.98,15
800091,100729,"2025-09-19 14:16:23.311496",17405.61,15
800092,101472,"2025-01-22 14:16:23.311497",17634.02,15
800093,101691,"2025-06-24 14:16:23.311499",1961.75,0
800094,101330,"2025-11-04 14:16:23.311500",13436.21,30
800095,101143,"2025-05-29 14:16:23.311501",3670.26,30
800096,101019,"2025-08-30 14:16:23.311503",13103.24,5
800097,101287,"2025-06-08 14:16:23.311504",18198.54,5
800098,100286,"2025-01-15 14:16:23.311505",5574.19,0
800099,101574,"2025-08-12 14:16:23.311506",7284.62,0
800100,101211,"2025-12-08 14:16:23.311508",16005.03,0
800101,100241,"2025-02-02 14:16:23.311509",14839.79,0
800102,101618,"2025-09-15 14:16:23.311510",8468.78,30
800103,100204,"2025-02-19 14:16:23.311511",17046.69,10
800104,100655,"2025-05-07 14:16:23.311513",18451.42,15
800105,100278,"2025-04-04 14:16:23.311518",9326.55,0
800106,100394,"2025-05-08 14:16:23.311520",1269.31,30
800107,100471,"2025-04-03 14:16:23.311522",10434.08,15
800108,101400,"2025-11-12 14:16:23.311524",14923.81,10
800109,101717,"2025-04-01 14:16:23.311528",4790.70,15
800110,100969,"2025-03-17 14:16:23.311530",2438.89,15
800111,101016,"2025-04-03 14:16:23.311532",6061.69,0
800112,101348,"2025-04-03 14:16:23.311534",725.94,0
800113,101035,"2024-12-27 14:16:23.311536",14451.70,30
800114,101315,"2025-01-26 14:16:23.311538",3348.33,5
800115,100056,"2025-05-04 14:16:23.311541",14611.16,0
800116,101177,"2025-09-21 14:16:23.311543",5073.69,5
800117,101627,"2025-02-18 14:16:23.311545",19845.21,0
800118,100463,"2025-09-07 14:16:23.311548",10870.01,0
800119,100961,"2025-02-28 14:16:23.311550",1306.11,0
800120,100601,"2025-12-10 14:16:23.311552",15567.24,0
800121,100515,"2025-09-07 14:16:23.311554",8496.76,0
800122,100732,"2025-08-27 14:16:23.311557",12342.77,10
800123,100655,"2025-05-24 14:16:23.311559",19048.66,0
800124,100021,"2024-12-20 14:16:23.311560",10586.76,0
800125,100703,"2025-11-03 14:16:23.311561",16185.34,0
800126,101130,"2025-12-08 14:16:23.311562",6404.46,10
800127,100325,"2025-01-10 14:16:23.311564",14433.16,5
800128,101755,"2025-04-30 14:16:23.311565",2436.80,5
800129,100906,"2025-04-29 14:16:23.311567",17920.31,0
800130,100425,"2025-01-09 14:16:23.311568",4395.07,0
800131,101262,"2025-07-02 14:16:23.311570",6387.63,10
800132,101364,"2025-03-25 14:16:23.311574",19185.13,30
800133,100729,"2025-04-25 14:16:23.311576",3526.67,10
800134,100038,"2025-03-29 14:16:23.311578",5460.99,5
800135,101780,"2025-02-20 14:16:23.311580",11813.50,10
800136,100942,"2025-09-21 14:16:23.311582",19623.53,5
800137,101685,"2025-07-17 14:16:23.311584",13982.68,5
800138,100029,"2025-01-10 14:16:23.311586",2726.71,30
800139,101437,"2025-09-02 14:16:23.311588",15088.28,15
800140,100160,"2025-05-15 14:16:23.311590",8811.20,0
800141,100615,"2025-07-12 14:16:23.311593",19850.41,15
800142,101693,"2025-02-09 14:16:23.311599",12759.98,0
800143,101956,"2024-12-29 14:16:23.311602",10873.14,15
800144,100308,"2025-11-11 14:16:23.311603",11366.67,0
800145,101437,"2025-10-07 14:16:23.311604",13010.46,0
800146,101945,"2025-08-19 14:16:23.311606",14770.67,30
800147,100133,"2025-06-29 14:16:23.311607",2027.28,10
800148,100565,"2025-05-05 14:16:23.311608",3048.06,15
800149,101975,"2025-05-15 14:16:23.311610",6359.32,0
800150,101923,"2025-09-14 14:16:23.311611",9820.11,0
800151,101358,"2025-06-24 14:16:23.311613",6565.81,5
800152,100035,"2025-09-22 14:16:23.311614",4669.84,0
800153,100830,"2025-09-07 14:16:23.311615",18538.08,10
800154,101666,"2025-01-28 14:16:23.311616",1135.71,0
800155,101848,"2024-12-27 14:16:23.311618",18804.61,30
800156,100079,"2025-08-13 14:16:23.311619",18191.23,30
800157,100783,"2025-10-09 14:16:23.311620",13833.74,30
800158,101959,"2025-05-09 14:16:23.311621",1134.42,5
800159,100436,"2025-04-02 14:16:23.311622",4894.43,0
800160,100986,"2025-03-16 14:16:23.311624",19592.46,30
800161,101143,"2025-02-23 14:16:23.311625",18166.03,0
800162,101157,"2025-09-25 14:16:23.311626",19309.15,0
800163,100404,"2025-08-06 14:16:23.311627",19924.40,15
800164,101740,"2025-04-07 14:16:23.311629",1745.81,0
800165,100264,"2025-12-07 14:16:23.311630",11631.82,0
800166,100232,"2025-05-22 14:16:23.311631",16765.68,10
800167,100446,"2025-10-06 14:16:23.311632",6734.32,5
800168,100426,"2025-07-31 14:16:23.311634",8993.40,30
800169,100967,"2025-03-06 14:16:23.311635",6032.90,30
800170,101051,"2025-07-12 14:16:23.311636",1242.41,0
800171,101324,"2025-06-30 14:16:23.311637",1917.91,15
800172,101593,"2025-06-15 14:16:23.311639",918.11,0
800173,100978,"2025-10-29 14:16:23.311642",10781.27,5
800174,100028,"2025-04-15 14:16:23.311643",12559.25,5
800175,101886,"2024-12-29 14:16:23.311645",6500.18,0
800176,100376,"2025-05-24 14:16:23.311647",16609.90,0
800177,101973,"2025-11-07 14:16:23.311648",17816.26,10
800178,101336,"2025-08-28 14:16:23.311649",3225.09,0
800179,100032,"2025-05-28 14:16:23.311651",1512.53,0
800180,101008,"2025-05-27 14:16:23.311652",6727.92,0
800181,101477,"2025-06-29 14:16:23.311653",14403.26,15
800182,100959,"2025-08-13 14:16:23.311654",10394.77,0
800183,100619,"2025-10-13 14:16:23.311656",10017.75,15
800184,100899,"2025-03-22 14:16:23.311657",3472.00,15
800185,101524,"2025-11-14 14:16:23.311658",7353.36,0
800186,101295,"2025-06-03 14:16:23.311659",19198.38,0
800187,100500,"2025-11-04 14:16:23.311660",7140.93,10
800188,100898,"2025-04-09 14:16:23.311662",12032.93,15
800189,100856,"2025-07-10 14:16:23.311663",1637.80,10
800190,100702,"2025-01-17 14:16:23.311664",1745.16,0
800191,101616,"2024-12-28 14:16:23.311666",8772.95,10
800192,101941,"2025-01-04 14:16:23.311667",12280.19,0
800193,101105,"2024-12-21 14:16:23.311668",7760.65,0
800194,100607,"2025-08-22 14:16:23.311670",3990.76,15
800195,101169,"2025-02-25 14:16:23.311674",14851.17,10
800196,100568,"2025-03-31 14:16:23.311676",3230.85,10
800197,100729,"2025-10-04 14:16:23.311678",13526.33,30
800198,101777,"2025-12-04 14:16:23.311680",19156.32,0
800199,101944,"2025-12-13 14:16:23.311682",9675.47,15
800200,100283,"2025-02-20 14:16:23.311684",4408.46,0
800201,100679,"2025-06-14 14:16:23.311688",16918.65,5
800202,100918,"2025-05-31 14:16:23.311690",10356.79,0
800203,100135,"2025-02-22 14:16:23.311692",18502.83,0
800204,100652,"2025-04-11 14:16:23.311694",14551.43,30
800205,101195,"2025-07-16 14:16:23.311696",8896.89,15
800206,100888,"2025-06-04 14:16:23.311698",12538.99,0
800207,101582,"2025-10-10 14:16:23.311700",3814.31,15
800208,101033,"2025-10-31 14:16:23.311702",8050.99,0
800209,100296,"2025-04-13 14:16:23.311704",12080.49,0
800210,100706,"2025-04-30 14:16:23.311706",12005.82,15
800211,100329,"2025-08-29 14:16:23.311709",11950.70,30
800212,101456,"2025-01-23 14:16:23.311711",14998.95,15
800213,100447,"2025-03-12 14:16:23.311713",2560.24,0
800214,100014,"2025-08-04 14:16:23.311715",1936.31,10
800215,100215,"2025-10-01 14:16:23.311717",3386.40,10
800216,101724,"2025-05-01 14:16:23.311719",15951.69,15
800217,101276,"2025-04-07 14:16:23.311721",1764.65,0
800218,100329,"2025-07-11 14:16:23.311723",4892.09,15
800219,100563,"2025-10-18 14:16:23.311725",5468.13,0
800220,101453,"2025-09-22 14:16:23.311727",13121.41,0
800221,101082,"2025-12-17 14:16:23.311735",8331.78,10
800222,100175,"2025-08-29 14:16:23.311738",4380.37,30
800223,101397,"2025-07-12 14:16:23.311740",9266.00,5
800224,100294,"2025-04-28 14:16:23.311741",13866.30,15
800225,101661,"2025-10-09 14:16:23.311742",15828.01,15
800226,101577,"2024-12-19 14:16:23.311744",2915.72,0
800227,100306,"2025-09-28 14:16:23.311745",14436.95,0
800228,101841,"2025-05-30 14:16:23.311746",588.19,5
800229,101371,"2025-09-16 14:16:23.311747",14624.31,0
800230,100360,"2024-12-21 14:16:23.311749",13389.58,0
800231,101789,"2025-10-07 14:16:23.311750",9639.00,5
800232,101089,"2025-10-22 14:16:23.311751",3169.03,15
800233,101960,"2025-12-07 14:16:23.311753",15408.71,0
800234,100569,"2025-07-25 14:16:23.311754",1899.19,30
800235,100638,"2025-07-23 14:16:23.311755",17963.59,15
800236,100515,"2025-05-24 14:16:23.311756",15582.48,5
800237,100234,"2025-09-18 14:16:23.311758",14948.79,0
800238,100432,"2025-09-22 14:16:23.311759",15210.69,10
800239,100386,"2025-08-31 14:16:23.311760",1817.68,10
800240,101055,"2025-03-10 14:16:23.311761",19804.01,15
800241,101017,"2025-05-27 14:16:23.311762",17242.69,30
800242,101710,"2025-09-12 14:16:23.311764",10404.70,10
800243,101597,"2025-03-28 14:16:23.311765",14528.31,0
800244,100225,"2025-03-24 14:16:23.311766",14915.51,15
800245,100143,"2025-03-29 14:16:23.311767",16680.81,30
800246,101475,"2025-08-26 14:16:23.311769",5479.79,0
800247,100017,"2025-02-09 14:16:23.311770",7755.03,0
800248,100731,"2025-05-13 14:16:23.311782",16093.86,5
800249,100745,"2025-04-29 14:16:23.311783",15495.19,0
800250,101413,"2025-09-12 14:16:23.311785",10691.00,10
800251,100746,"2025-12-11 14:16:23.311786",8226.00,15
800252,100361,"2025-10-02 14:16:23.311787",19384.63,0
800253,100320,"2025-08-12 14:16:23.311788",8592.92,0
800254,100591,"2025-06-17 14:16:23.311790",15397.72,10
800255,101316,"2025-09-05 14:16:23.311791",8546.53,0
800256,100072,"2025-09-25 14:16:23.311792",6541.81,15
800257,101982,"2025-02-28 14:16:23.311793",12999.44,0
