credit_profile_id,customer_id,credit_limit,credit_score,utilization_ratio
500000,100000,150000,337.0,0.27
500001,100001,150000,438.0,1.1
500002,100002,50000,494.0,0.65
500003,100003,200000,826.0,0.96
500004,100004,75000,300.0,0.31
500005,100005,50000,,0.61
500006,100006,200000,395.0,0.46
500007,100007,75000,712.0,1.0
500008,100008,150000,837.0,0.08
500009,100009,75000,728.0,0.33
500010,100010,300000,534.0,0.23
500011,100011,100000,648.0,1.04
500012,100012,75000,780.0,0.59
500013,100013,100000,695.0,0.51
500014,100014,75000,650.0,0.57
500015,100015,100000,715.0,1.17
500016,100016,300000,350.0,1.03
500017,100017,150000,,0.86
500018,100018,200000,335.0,0.38
500019,100019,100000,366.0,0.24
500020,100020,300000,780.0,1.11
500021,100021,100000,,0.54
500022,100022,150000,441.0,0.37
500023,100023,100000,655.0,0.59
500024,100024,300000,770.0,1.11
500025,100025,300000,890.0,0.5
500026,100026,50000,738.0,0.7
500027,100027,150000,830.0,0.97
500028,100028,50000,426.0,0.54
500029,100029,150000,,0.32
500030,100030,100000,328.0,1.19
500031,100031,300000,744.0,1.15
500032,100032,50000,763.0,1.02
500033,100033,100000,579.0,0.84
500034,100034,300000,450.0,0.39
500035,100035,150000,539.0,1.1
500036,100036,300000,565.0,0.37
500037,100037,100000,404.0,0.97
500038,100038,50000,732.0,1.11
500039,100039,50000,796.0,0.74
500040,100040,300000,739.0,0.97
500041,100041,100000,457.0,0.96
500042,100042,75000,471.0,0.27
500043,100043,150000,,0.82
500044,100044,150000,610.0,0.16
500045,100045,100000,702.0,0.63
500046,100046,75000,762.0,0.24
500047,100047,50000,666.0,0.53
500048,100048,200000,849.0,1.01
500049,100049,200000,554.0,1.19
500050,100050,100000,507.0,0.42
500051,100051,75000,749.0,0.66
500052,100052,75000,394.0,0.64
500053,100053,150000,,1.15
500054,100054,50000,489.0,0.6
500055,100055,300000,783.0,0.85
500056,100056,75000,835.0,1.11
500057,100057,300000,722.0,0.48
500058,100058,200000,432.0,1.09
500059,100059,300000,354.0,1.11
500060,100060,50000,809.0,1.12
500061,100061,50000,840.0,0.36
500062,100062,300000,709.0,0.51
500063,100063,100000,510.0,1.05
500064,100064,75000,592.0,0.46
500065,100065,100000,414.0,0.74
500066,100066,300000,558.0,0.19
500067,100067,75000,421.0,0.11
500068,100068,150000,598.0,0.52
500069,100069,100000,680.0,0.72
500070,100070,100000,860.0,0.5
500071,100071,300000,800.0,0.71
500072,100072,200000,596.0,0.64
500073,100073,300000,661.0,0.84
500074,100074,100000,888.0,0.8
500075,100075,75000,762.0,0.54
500076,100076,200000,,0.54
500077,100077,300000,,0.21
500078,100078,300000,496.0,0.64
500079,100079,100000,520.0,0.73
500080,100080,100000,390.0,0.6
500081,100081,150000,710.0,0.42
500082,100082,300000,307.0,0.88
500083,100083,100000,843.0,0.14
500084,100084,50000,767.0,1.1
500085,100085,200000,619.0,0.07
500086,100086,50000,693.0,1.16
500087,100087,200000,568.0,0.58
500088,100088,300000,490.0,0.52
500089,100089,150000,360.0,0.34
500090,100090,100000,737.0,0.06
500091,100091,100000,563.0,0.37
500092,100092,100000,394.0,0.18
500093,100093,300000,852.0,0.81
500094,100094,200000,769.0,0.42
500095,100095,100000,813.0,0.93
500096,100096,50000,493.0,0.29
500097,100097,100000,781.0,1.09
500098,100098,300000,635.0,0.65
500099,100099,150000,,0.18
500100,100100,50000,495.0,0.51
500101,100101,100000,548.0,0.29
500102,100102,100000,797.0,0.28
500103,100103,75000,511.0,0.63
500104,100104,200000,765.0,0.82
500105,100105,50000,520.0,1.1
500106,100106,75000,572.0,0.63
500107,100107,150000,453.0,1.16
500108,100108,200000,548.0,1.13
500109,100109,50000,578.0,1.04
500110,100110,100000,739.0,0.62
500111,100111,50000,,0.21
500112,100112,100000,813.0,0.3
500113,100113,200000,387.0,0.79
500114,100114,100000,804.0,0.54
500115,100115,150000,,0.22
500116,100116,300000,540.0,0.6
500117,100117,100000,535.0,0.07
500118,100118,150000,,0.89
500119,100119,300000,802.0,0.13
500120,100120,200000,499.0,0.77
500121,100121,200000,842.0,0.96
500122,100122,50000,801.0,0.2
500123,100123,150000,791.0,0.65
500124,100124,150000,320.0,0.95
500125,100125,75000,533.0,0.35
500126,100126,75000,715.0,0.24
500127,100127,300000,447.0,0.44
500128,100128,300000,328.0,0.69
500129,100129,75000,660.0,0.71
500130,100130,300000,,0.2
500131,100131,100000,461.0,0.58
500132,100132,75000,360.0,0.36
500133,100133,150000,424.0,1.02
500134,100134,100000,755.0,0.41
500135,100135,300000,370.0,1.01
500136,100136,200000,765.0,0.54
500137,100137,50000,,0.89
500138,100138,75000,789.0,0.64
500139,100139,200000,520.0,0.77
500140,100140,300000,772.0,0.5
500141,100141,150000,832.0,0.93
500142,100142,50000,793.0,0.54
500143,100143,200000,381.0,0.58
500144,100144,50000,821.0,0.65
500145,100145,75000,311.0,1.01
500146,100146,300000,562.0,0.81
500147,100147,150000,748.0,0.45
500148,100148,300000,,0.82
500149,100149,50000,413.0,0.79
500150,100150,200000,325.0,1.12
500151,100151,75000,798.0,1.02
500152,100152,75000,807.0,0.79
500153,100153,300000,844.0,0.44
500154,100154,200000,361.0,0.95
500155,100155,200000,528.0,0.71
500156,100156,50000,334.0,1.18
500157,100157,300000,755.0,0.33
500158,100158,300000,887.0,0.14
500159,100159,100000,801.0,0.13
500160,100160,300000,894.0,0.79
500161,100161,75000,324.0,1.13
500162,100162,50000,868.0,0.05
500163,100163,200000,331.0,0.88
500164,100164,300000,311.0,0.81
500165,100165,50000,618.0,0.89
500166,100166,300000,300.0,0.46
500167,100167,200000,734.0,0.99
500168,100168,150000,435.0,0.1
500169,100169,200000,495.0,0.92
500170,100170,200000,432.0,0.36
500171,100171,200000,385.0,0.6
500172,100172,300000,775.0,1.0
500173,100173,100000,623.0,0.36
500174,100174,200000,479.0,0.26
500175,100175,75000,815.0,0.83
500176,100176,75000,474.0,0.66
500177,100177,50000,,0.64
500178,100178,100000,404.0,0.35
500179,100179,50000,877.0,0.09
500180,100180,75000,742.0,0.52
500181,100181,75000,348.0,0.17
500182,100182,150000,827.0,1.09
500183,100183,200000,444.0,0.1
500184,100184,75000,639.0,0.55
500185,100185,300000,653.0,0.11
500186,100186,300000,374.0,0.16
500187,100187,50000,877.0,0.81
500188,100188,50000,618.0,0.79
500189,100189,200000,386.0,0.09
500190,100190,200000,852.0,0.05
500191,100191,150000,341.0,0.14
500192,100192,100000,392.0,0.93
500193,100193,50000,806.0,0.72
500194,100194,200000,828.0,0.09
500195,100195,50000,564.0,0.61
500196,100196,200000,591.0,0.87
500197,100197,75000,763.0,1.05
500198,100198,50000,859.0,1.12
500199,100199,75000,396.0,0.43
500200,100200,50000,394.0,0.21
500201,100201,100000,625.0,0.32
500202,100202,150000,,0.94
500203,100203,300000,635.0,1.17
500204,100204,300000,367.0,0.59
500205,100205,300000,376.0,0.4
500206,100206,75000,507.0,0.54
500207,100207,200000,,0.4
500208,100208,300000,561.0,0.34
500209,100209,100000,709.0,0.73
500210,100210,300000,630.0,0.07
500211,100211,50000,643.0,0.35
500212,100212,75000,373.0,0.81
500213,100213,50000,553.0,0.09
500214,100214,50000,631.0,0.15
500215,100215,50000,697.0,0.39
500216,100216,150000,644.0,1.06
500217,100217,150000,883.0,0.93
500218,100218,200000,754.0,0.08
500219,100219,75000,414.0,0.63
500220,100220,100000,612.0,0.37
500221,100221,100000,527.0,0.8
500222,100222,100000,544.0,0.88
500223,100223,50000,825.0,1.04
500224,100224,150000,827.0,0.6
500225,100225,75000,726.0,1.19
500226,100226,50000,341.0,1.18
500227,100227,150000,764.0,1.06
500228,100228,150000,577.0,0.71
500229,100229,300000,318.0,0.51
500230,100230,300000,365.0,0.47
500231,100231,75000,466.0,0.06
500232,100232,75000,884.0,0.34
500233,100233,75000,702.0,0.88
500234,100234,50000,708.0,0.74
500235,100235,200000,411.0,1.1
500236,100236,75000,,0.11
500237,100237,300000,706.0,0.23
500238,100238,200000,672.0,0.96
500239,100239,50000,896.0,0.46
500240,100240,200000,338.0,0.19
500241,100241,100000,404.0,1.2
500242,100242,200000,623.0,0.96
500243,100243,75000,713.0,0.52
500244,100244,50000,728.0,1.0
500245,100245,75000,360.0,0.83
500246,100246,300000,606.0,0.96
500247,100247,100000,653.0,0.99
500248,100248,300000,692.0,0.15
500249,100249,75000,503.0,0.77
500250,100250,75000,557.0,0.06
500251,100251,75000,,0.1
500252,100252,150000,816.0,1.09
500253,100253,100000,745.0,0.66
500254,100254,75000,,0.9
500255,100255,75000,641.0,1.01
500256,100256,300000,432.0,1.14
500257,100257,300000,742.0,1.05
500258,100258,75000,552.0,0.61
500259,100259,50000,564.0,0.44
500260,100260,150000,392.0,0.23
500261,100261,300000,710.0,0.51
500262,100262,50000,437.0,0.47
500263,100263,150000,507.0,0.69
500264,100264,75000,872.0,0.82
