transaction_id,customer_id,transaction_date,transaction_category,transaction_amount
900000,100325,2025-07-15 14:16:23.256640,Utilities,5935.63
900001,101718,2025-04-26 14:16:23.256654,Electronics,17424.98
900002,100948,2025-02-05 14:16:23.256657,entertainment,3514.02
900003,100015,2025-10-19 14:16:23.256659,Fuel,1665.36
900004,100110,2025-12-13 14:16:23.256660,entertainment,863.63
900005,100871,2025-06-20 14:16:23.256662,Utilities,775.85
900006,100712,2025-07-26 14:16:23.256663,Electronics,6786.47
900007,100106,2025-02-06 14:16:23.256666,Fuel,17056.62
900008,100378,2025-03-28 14:16:23.256668,grocery,4190.54
900009,100161,2025-05-09 14:16:23.256670,Utilities,10918.9
900010,100282,2025-02-20 14:16:23.256672,grocery,1507.72
900011,100268,2025-01-16 14:16:23.256673,Dining,3457.21
900012,100483,2025-04-25 14:16:23.256675,Dining,2508.78
900013,100666,2025-12-05 14:16:23.256676,entertainment,2302.35
900014,101096,2025-01-13 14:16:23.256677,Online Shopping,3502.41
900015,101220,2025-03-25 14:16:23.256679,ENTERTAINMENT,1300.44
900016,101266,2025-03-27 14:16:23.256680,Fuel,3581.84
900017,100597,2025-12-02 14:16:23.256684,Electronics,3910.8
900018,100798,2025-09-17 14:16:23.256686,Online Shopping,6330.03
900019,101282,2025-04-14 14:16:23.256689,entertainment,4588.91
900020,100797,2025-11-29 14:16:23.256691,Dining,1348.66
900021,101172,2024-12-23 14:16:23.256693,Utilities,2097.52
900022,101890,2025-09-06 14:16:23.256695,Utilities,448.92
900023,100389,2025-09-14 14:16:23.256697,Dining,1041.09
900024,100415,2025-03-10 14:16:23.256699,Groceries,2575.79
900025,100425,2025-05-19 14:16:23.256702,Travel,371.72
900026,100996,2025-11-11 14:16:23.256704,Fuel,2958.83
900027,101725,2025-10-18 14:16:23.256707,Travel,1731.64
900028,101240,2025-03-02 14:16:23.256709,Electronics,123.85
900029,101951,2024-12-21 14:16:23.256711,Groceries,1994.83
900030,100866,2025-02-18 14:16:23.256713,Electronics,1155.31
900031,100085,2025-04-18 14:16:23.256715,Fuel,242.64
900032,101239,2025-02-10 14:16:23.256727,Dining,1215.37
900033,100422,2025-01-08 14:16:23.256730,Online Shopping,1218.96
900034,101343,2025-01-01 14:16:23.256731,ENTERTAINMENT,1535.17
900035,100117,2025-12-12 14:16:23.256733,grocery,1597.6
900036,101949,2025-02-15 14:16:23.256734,Online Shopping,1966.01
900037,100958,2025-07-06 14:16:23.256735,grocery,337.63
900038,100881,2025-12-05 14:16:23.256736,Fuel,18.52
900039,100991,2025-11-23 14:16:23.256737,entertainment,4661.42
900040,100414,2025-05-08 14:16:23.256739,Electronics,1440.26
900041,100598,2025-08-17 14:16:23.256740,ENTERTAINMENT,3328.19
900042,100039,2025-08-11 14:16:23.256741,grocery,1283.71
900043,101184,2025-02-16 14:16:23.256743,ENTERTAINMENT,14514.31
900044,100702,2025-08-18 14:16:23.256744,Dining,1326.35
900045,100536,2025-11-13 14:16:23.256745,Groceries,3251.44
900046,100419,2025-09-26 14:16:23.256746,ENTERTAINMENT,869.49
900047,100663,2025-02-12 14:16:23.256748,ENTERTAINMENT,2552.9
900048,100094,2025-06-19 14:16:23.256749,entertainment,3030.68
900049,101465,2025-10-03 14:16:23.256750,Electronics,706.65
900050,101958,2025-09-05 14:16:23.256751,Electronics,461.99
