repayment_id,customer_id,payment_date,payment_amount,payment_delay_days,severe_delay_flag
800000,100825,2025-10-22 14:16:23.311288,17961.4,15,False
800001,101988,2025-07-22 14:16:23.311308,6297.35,5,False
800002,101824,2025-11-08 14:16:23.311312,2549.78,5,False
800003,101959,2025-11-15 14:16:23.311315,2461.52,30,True
800004,101025,2025-07-10 14:16:23.311317,11340.2,30,True
800005,100416,2025-09-01 14:16:23.311321,6459.01,10,False
800006,101176,2025-10-14 14:16:23.311322,5638.67,0,False
800007,101277,2025-10-03 14:16:23.311325,4836.91,5,False
800008,101594,2025-11-02 14:16:23.311328,11460.9,0,False
800009,100922,2024-12-19 14:16:23.311333,11187.86,30,True
800010,100951,2025-04-27 14:16:23.311336,8735.1,0,False
800011,101786,2025-08-26 14:16:23.311338,3199.58,10,False
800012,100367,2025-02-13 14:16:23.311341,18611.5,15,False
800013,101048,2025-08-16 14:16:23.311342,8844.75,10,False
800014,100132,2025-03-07 14:16:23.311345,2911.02,5,False
800015,101266,2025-07-28 14:16:23.311347,1223.04,5,False
800016,100061,2025-08-03 14:16:23.311349,3475.57,30,True
800017,101450,2025-04-15 14:16:23.311351,6293.96,15,False
800018,101639,2025-03-05 14:16:23.311354,12786.82,0,False
800019,100451,2025-10-07 14:16:23.311356,19433.25,15,False
800020,101101,2025-03-10 14:16:23.311358,5805.32,15,False
800021,100720,2025-11-06 14:16:23.311360,15901.18,5,False
800022,100104,2025-03-29 14:16:23.311363,18272.03,5,False
800023,100602,2025-05-11 14:16:23.311365,8135.67,0,False
800024,100675,2025-03-26 14:16:23.311368,5438.84,0,False
800025,101403,2025-04-19 14:16:23.311370,10075.8,0,False
800026,101889,2025-11-04 14:16:23.311371,17985.89,5,False
800027,100393,2025-03-04 14:16:23.311372,714.15,5,False
800028,101138,2025-10-12 14:16:23.311373,9989.31,10,False
800029,101685,2025-02-10 14:16:23.311375,15273.11,30,True
800030,100744,2025-03-24 14:16:23.311376,12222.04,0,False
800031,100597,2025-11-12 14:16:23.311377,10198.12,10,False
800032,101563,2025-09-22 14:16:23.311379,11295.46,5,False
800033,100047,2025-11-22 14:16:23.311380,12575.02,0,False
800034,100187,2025-02-27 14:16:23.311382,13800.47,30,True
800035,101619,2025-09-09 14:16:23.311383,7445.62,5,False
800036,101008,2025-07-20 14:16:23.311384,10588.8,0,False
800037,101598,2025-08-04 14:16:23.311385,5834.62,30,True
800038,100513,2025-03-23 14:16:23.311386,19687.81,15,False
800039,100790,2025-03-13 14:16:23.311388,4152.12,30,True
800040,101074,2025-09-08 14:16:23.311393,3437.82,10,False
800041,100225,2025-07-18 14:16:23.311395,5742.03,0,False
800042,101391,2025-08-22 14:16:23.311397,18441.06,0,False
800043,101103,2025-04-23 14:16:23.311399,13347.69,5,False
800044,100923,2025-12-01 14:16:23.311401,9390.59,5,False
800045,101781,2025-08-08 14:16:23.311403,18545.21,0,False
800046,101229,2025-04-11 14:16:23.311405,18052.87,0,False
800047,100627,2025-09-24 14:16:23.311407,8331.05,10,False
800048,100768,2025-05-20 14:16:23.311409,11491.0,0,False
800049,101022,2025-09-04 14:16:23.311411,18154.79,5,False
800050,101000,2025-01-15 14:16:23.311413,6728.27,10,False
800051,101422,2025-09-10 14:16:23.311415,8446.98,0,False
800052,101550,2025-11-07 14:16:23.311418,15963.78,5,False
800053,101240,2025-10-19 14:16:23.311422,14123.46,0,False
800054,101066,2025-09-22 14:16:23.311424,1448.68,0,False
800055,101924,2025-11-05 14:16:23.311427,2788.84,5,False
800056,100455,2025-02-13 14:16:23.311430,17002.15,10,False
800057,100981,2025-11-27 14:16:23.311431,1079.91,10,False
800058,101638,2025-07-19 14:16:23.311432,18438.62,0,False
800059,100892,2025-08-18 14:16:23.311434,5799.18,0,False
800060,101317,2025-06-29 14:16:23.311435,12168.39,10,False
800061,101598,2025-05-21 14:16:23.311436,11509.33,0,False
800062,101766,2025-08-07 14:16:23.311438,8226.95,10,False
800063,101522,2025-02-21 14:16:23.311439,1113.02,0,False
800064,100237,2025-05-13 14:16:23.311440,4253.19,0,False
800065,101962,2025-01-18 14:16:23.311442,12491.98,0,False
800066,101330,2025-10-14 14:16:23.311443,9204.27,0,False
800067,100761,2025-07-12 14:16:23.311444,8569.82,30,True
800068,101613,2025-02-20 14:16:23.311446,2405.21,0,False
800069,101618,2025-08-26 14:16:23.311447,7268.98,15,False
800070,100153,2025-10-05 14:16:23.311448,10765.4,0,False
800071,100741,2025-02-10 14:16:23.311449,2015.01,0,False
800072,101120,2025-10-19 14:16:23.311451,1800.57,30,True
800073,101197,2025-04-08 14:16:23.311452,10085.29,15,False
800074,100651,2025-04-19 14:16:23.311453,11444.42,0,False
800075,101116,2025-08-25 14:16:23.311454,5524.01,0,False
800076,100651,2025-02-26 14:16:23.311456,6852.44,10,False
800077,101052,2025-09-05 14:16:23.311461,16038.97,5,False
800078,100872,2025-10-31 14:16:23.311463,17450.1,15,False
800079,101084,2025-09-29 14:16:23.311465,6841.96,0,False
800080,100040,2025-11-21 14:16:23.311467,7436.43,30,True
800081,101517,2025-03-21 14:16:23.311469,16691.37,0,False
800082,100659,2025-04-29 14:16:23.311471,19489.77,5,False
800083,101837,2025-04-08 14:16:23.311474,6751.57,10,False
800084,100758,2025-01-05 14:16:23.311476,15880.17,0,False
800085,101693,2025-08-03 14:16:23.311478,9854.0,0,False
800086,100294,2025-07-18 14:16:23.311480,5642.7,0,False
800087,101781,2025-01-08 14:16:23.311489,13794.81,10,False
800088,101319,2025-10-21 14:16:23.311492,9519.73,0,False
800089,101202,2025-05-12 14:16:23.311493,5729.17,30,True
800090,100257,2025-11-30 14:16:23.311494,2590.98,15,False
800091,100729,2025-09-19 14:16:23.311496,17405.61,15,False
800092,101472,2025-01-22 14:16:23.311497,17634.02,15,False
800093,101691,2025-06-24 14:16:23.311499,1961.75,0,False
800094,101330,2025-11-04 14:16:23.311500,13436.21,30,True
800095,101143,2025-05-29 14:16:23.311501,3670.26,30,True
800096,101019,2025-08-30 14:16:23.311503,13103.24,5,False
800097,101287,2025-06-08 14:16:23.311504,18198.54,5,False
800098,100286,2025-01-15 14:16:23.311505,5574.19,0,False
800099,101574,2025-08-12 14:16:23.311506,7284.62,0,False
800100,101211,2025-12-08 14:16:23.311508,16005.03,0,False
800101,100241,2025-02-02 14:16:23.311509,14839.79,0,False
800102,101618,2025-09-15 14:16:23.311510,8468.78,30,True
800103,100204,2025-02-19 14:16:23.311511,17046.69,10,False
800104,100655,2025-05-07 14:16:23.311513,18451.42,15,False
800105,100278,2025-04-04 14:16:23.311518,9326.55,0,False
800106,100394,2025-05-08 14:16:23.311520,1269.31,30,True
800107,100471,2025-04-03 14:16:23.311522,10434.08,15,False
800108,101400,2025-11-12 14:16:23.311524,14923.81,10,False
800109,101717,2025-04-01 14:16:23.311528,4790.7,15,False
800110,100969,2025-03-17 14:16:23.311530,2438.89,15,False
800111,101016,2025-04-03 14:16:23.311532,6061.69,0,False
800112,101348,2025-04-03 14:16:23.311534,725.94,0,False
800113,101035,2024-12-27 14:16:23.311536,14451.7,30,True
800114,101315,2025-01-26 14:16:23.311538,3348.33,5,False
800115,100056,2025-05-04 14:16:23.311541,14611.16,0,False
800116,101177,2025-09-21 14:16:23.311543,5073.69,5,False
800117,101627,2025-02-18 14:16:23.311545,19845.21,0,False
800118,100463,2025-09-07 14:16:23.311548,10870.01,0,False
800119,100961,2025-02-28 14:16:23.311550,1306.11,0,False
800120,100601,2025-12-10 14:16:23.311552,15567.24,0,False
800121,100515,2025-09-07 14:16:23.311554,8496.76,0,False
800122,100732,2025-08-27 14:16:23.311557,12342.77,10,False
800123,100655,2025-05-24 14:16:23.311559,19048.66,0,False
800124,100021,2024-12-20 14:16:23.311560,10586.76,0,False
800125,100703,2025-11-03 14:16:23.311561,16185.34,0,False
800126,101130,2025-12-08 14:16:23.311562,6404.46,10,False
800127,100325,2025-01-10 14:16:23.311564,14433.16,5,False
800128,101755,2025-04-30 14:16:23.311565,2436.8,5,False
800129,100906,2025-04-29 14:16:23.311567,17920.31,0,False
800130,100425,2025-01-09 14:16:23.311568,4395.07,0,False
800131,101262,2025-07-02 14:16:23.311570,6387.63,10,False
800132,101364,2025-03-25 14:16:23.311574,19185.13,30,True
800133,100729,2025-04-25 14:16:23.311576,3526.67,10,False
800134,100038,2025-03-29 14:16:23.311578,5460.99,5,False
800135,101780,2025-02-20 14:16:23.311580,11813.5,10,False
800136,100942,2025-09-21 14:16:23.311582,19623.53,5,False
800137,101685,2025-07-17 14:16:23.311584,13982.68,5,False
800138,100029,2025-01-10 14:16:23.311586,2726.71,30,True
800139,101437,2025-09-02 14:16:23.311588,15088.28,15,False
800140,100160,2025-05-15 14:16:23.311590,8811.2,0,False
800141,100615,2025-07-12 14:16:23.311593,19850.41,15,False
800142,101693,2025-02-09 14:16:23.311599,12759.98,0,False
800143,101956,2024-12-29 14:16:23.311602,10873.14,15,False
800144,100308,2025-11-11 14:16:23.311603,11366.67,0,False
800145,101437,2025-10-07 14:16:23.311604,13010.46,0,False
800146,101945,2025-08-19 14:16:23.311606,14770.67,30,True
800147,100133,2025-06-29 14:16:23.311607,2027.28,10,False
800148,100565,2025-05-05 14:16:23.311608,3048.06,15,False
800149,101975,2025-05-15 14:16:23.311610,6359.32,0,False
800150,101923,2025-09-14 14:16:23.311611,9820.11,0,False
800151,101358,2025-06-24 14:16:23.311613,6565.81,5,False
800152,100035,2025-09-22 14:16:23.311614,4669.84,0,False
800153,100830,2025-09-07 14:16:23.311615,18538.08,10,False
800154,101666,2025-01-28 14:16:23.311616,1135.71,0,False
800155,101848,2024-12-27 14:16:23.311618,18804.61,30,True
800156,100079,2025-08-13 14:16:23.311619,18191.23,30,True
800157,100783,2025-10-09 14:16:23.311620,13833.74,30,True
800158,101959,2025-05-09 14:16:23.311621,1134.42,5,False
800159,100436,2025-04-02 14:16:23.311622,4894.43,0,False
800160,100986,2025-03-16 14:16:23.311624,19592.46,30,True
800161,101143,2025-02-23 14:16:23.311625,18166.03,0,False
800162,101157,2025-09-25 14:16:23.311626,19309.15,0,False
800163,100404,2025-08-06 14:16:23.311627,19924.4,15,False
800164,101740,2025-04-07 14:16:23.311629,1745.81,0,False
800165,100264,2025-12-07 14:16:23.311630,11631.82,0,False
800166,100232,2025-05-22 14:16:23.311631,16765.68,10,False
800167,100446,2025-10-06 14:16:23.311632,6734.32,5,False
800168,100426,2025-07-31 14:16:23.311634,8993.4,30,True
800169,100967,2025-03-06 14:16:23.311635,6032.9,30,True
800170,101051,2025-07-12 14:16:23.311636,1242.41,0,False
800171,101324,2025-06-30 14:16:23.311637,1917.91,15,False
800172,101593,2025-06-15 14:16:23.311639,918.11,0,False
800173,100978,2025-10-29 14:16:23.311642,10781.27,5,False
800174,100028,2025-04-15 14:16:23.311643,12559.25,5,False
800175,101886,2024-12-29 14:16:23.311645,6500.18,0,False
800176,100376,2025-05-24 14:16:23.311647,16609.9,0,False
800177,101973,2025-11-07 14:16:23.311648,17816.26,10,False
800178,101336,2025-08-28 14:16:23.311649,3225.09,0,False
