transaction_id,customer_id,transaction_date,transaction_category,transaction_amount,high_value_txn_flag,year_month
900000,100325,2025-07-15 14:16:23.256640,utilities,5935.63,False,2025-07
900001,101718,2025-04-26 14:16:23.256654,electronics,17424.98,True,2025-04
900002,100948,2025-02-05 14:16:23.256657,entertainment,3514.02,False,2025-02
900003,100015,2025-10-19 14:16:23.256659,fuel,1665.36,False,2025-10
900004,100110,2025-12-13 14:16:23.256660,entertainment,863.63,False,2025-12
900005,100871,2025-06-20 14:16:23.256662,utilities,775.85,False,2025-06
900006,100712,2025-07-26 14:16:23.256663,electronics,6786.47,False,2025-07
900007,100106,2025-02-06 14:16:23.256666,fuel,17056.62,False,2025-02
900008,100378,2025-03-28 14:16:23.256668,groceries,4190.54,False,2025-03
900009,100161,2025-05-09 14:16:23.256670,utilities,10918.9,False,2025-05
900010,100282,2025-02-20 14:16:23.256672,groceries,1507.72,False,2025-02
900011,100268,2025-01-16 14:16:23.256673,dining,3457.21,False,2025-01
900012,100483,2025-04-25 14:16:23.256675,dining,2508.78,False,2025-04
900013,100666,2025-12-05 14:16:23.256676,entertainment,2302.35,False,2025-12
900014,101096,2025-01-13 14:16:23.256677,online shopping,3502.41,False,2025-01
900015,101220,2025-03-25 14:16:23.256679,entertainment,1300.44,False,2025-03
900016,101266,2025-03-27 14:16:23.256680,fuel,3581.84,False,2025-03
900017,100597,2025-12-02 14:16:23.256684,electronics,3910.8,False,2025-12
900018,100798,2025-09-17 14:16:23.256686,online shopping,6330.03,False,2025-09
900019,101282,2025-04-14 14:16:23.256689,entertainment,4588.91,False,2025-04
900020,100797,2025-11-29 14:16:23.256691,dining,1348.66,False,2025-11
900021,101172,2024-12-23 14:16:23.256693,utilities,2097.52,False,2024-12
900022,101890,2025-09-06 14:16:23.256695,utilities,448.92,False,2025-09
900023,100389,2025-09-14 14:16:23.256697,dining,1041.09,False,2025-09
900024,100415,2025-03-10 14:16:23.256699,groceries,2575.79,False,2025-03
900025,100425,2025-05-19 14:16:23.256702,travel,371.72,False,2025-05
900026,100996,2025-11-11 14:16:23.256704,fuel,2958.83,False,2025-11
900027,101725,2025-10-18 14:16:23.256707,travel,1731.64,False,2025-10
900028,101240,2025-03-02 14:16:23.256709,electronics,123.85,False,2025-03
900029,101951,2024-12-21 14:16:23.256711,groceries,1994.83,False,2024-12
900030,100866,2025-02-18 14:16:23.256713,electronics,1155.31,False,2025-02
900031,100085,2025-04-18 14:16:23.256715,fuel,242.64,False,2025-04
900032,101239,2025-02-10 14:16:23.256727,dining,1215.37,False,2025-02
900033,100422,2025-01-08 14:16:23.256730,online shopping,1218.96,False,2025-01
900034,101343,2025-01-01 14:16:23.256731,entertainment,1535.17,False,2025-01
900035,100117,2025-12-12 14:16:23.256733,groceries,1597.6,False,2025-12
900036,101949,2025-02-15 14:16:23.256734,online shopping,1966.01,False,2025-02
900037,100958,2025-07-06 14:16:23.256735,groceries,337.63,False,2025-07
900038,100881,2025-12-05 14:16:23.256736,fuel,18.52,False,2025-12
900039,100991,2025-11-23 14:16:23.256737,entertainment,4661.42,False,2025-11
900040,100414,2025-05-08 14:16:23.256739,electronics,1440.26,False,2025-05
900041,100598,2025-08-17 14:16:23.256740,entertainment,3328.19,False,2025-08
900042,100039,2025-08-11 14:16:23.256741,groceries,1283.71,False,2025-08
900043,101184,2025-02-16 14:16:23.256743,entertainment,14514.31,False,2025-02
900044,100702,2025-08-18 14:16:23.256744,dining,1326.35,False,2025-08
900045,100536,2025-11-13 14:16:23.256745,groceries,3251.44,False,2025-11
900046,100419,2025-09-26 14:16:23.256746,entertainment,869.49,False,2025-09
900047,100663,2025-02-12 14:16:23.256748,entertainment,2552.9,False,2025-02
900048,100094,2025-06-19 14:16:23.256749,entertainment,3030.68,False,2025-06
900049,101465,2025-10-03 14:16:23.256750,electronics,706.65,False,2025-10
900050,101958,2025-09-05 14:16:23.256751,electronics,461.99,False,2025-09
900051,101581,2025-04-30 14:16:23.256753,groceries,12720.54,False,2025-04
900052,100972,2025-02-18 14:16:23.256754,online shopping,7831.01,False,2025-02
900053,100649,2025-11-05 14:16:23.256756,groceries,3776.52,False,2025-11
900054,101489,2025-09-16 14:16:23.256757,entertainment,6907.85,False,2025-09
900055,100287,2025-07-27 14:16:23.256758,electronics,351.54,False,2025-07
900056,101888,2025-04-08 14:16:23.256760,utilities,4574.59,False,2025-04
900057,101699,2025-10-01 14:16:23.256761,entertainment,1177.11,False,2025-10
900058,100411,2025-03-30 14:16:23.256762,electronics,2714.0,False,2025-03
900059,100399,2025-10-09 14:16:23.256764,travel,5065.82,False,2025-10
900060,100527,2025-07-22 14:16:23.256765,online shopping,119.18,False,2025-07
900061,101041,2025-03-01 14:16:23.256766,utilities,4154.2,False,2025-03
900062,100135,2025-05-18 14:16:23.256768,dining,1997.43,False,2025-05
900063,101487,2024-12-23 14:16:23.256769,entertainment,2027.32,False,2024-12
900064,100758,2025-02-11 14:16:23.256770,dining,8323.53,False,2025-02
900065,101271,2025-07-24 14:16:23.256772,groceries,6874.81,False,2025-07
900066,100842,2025-11-23 14:16:23.256773,fuel,207.39,False,2025-11
900067,100709,2025-01-29 14:16:23.256775,entertainment,3371.06,False,2025-01
900068,101024,2025-08-31 14:16:23.256779,dining,2003.5,False,2025-08
900069,101725,2025-06-20 14:16:23.256780,dining,438.74,False,2025-06
900070,100380,2025-04-11 14:16:23.256783,groceries,6664.54,False,2025-04
900071,100508,2025-05-29 14:16:23.256785,groceries,259.69,False,2025-05
900072,101483,2025-02-17 14:16:23.256787,fuel,114.18,False,2025-02
900073,101528,2025-07-01 14:16:23.256789,travel,770.15,False,2025-07
900074,100805,2025-06-26 14:16:23.256791,utilities,1265.3,False,2025-06
900075,100475,2025-01-05 14:16:23.256793,entertainment,219.84,False,2025-01
900076,101580,2025-07-01 14:16:23.256795,electronics,3588.55,False,2025-07
900077,100953,2025-12-16 14:16:23.256798,dining,2011.6,False,2025-12
900078,100848,2025-08-06 14:16:23.256800,fuel,1859.72,False,2025-08
900079,100896,2025-08-13 14:16:23.256802,utilities,549.68,False,2025-08
900080,100031,2025-11-02 14:16:23.256804,online shopping,2015.57,False,2025-11
900081,101927,2025-06-07 14:16:23.256806,utilities,1730.99,False,2025-06
900082,100117,2024-12-21 14:16:23.256808,entertainment,1693.75,False,2024-12
900083,101831,2025-05-23 14:16:23.256811,entertainment,863.19,False,2025-05
900084,101207,2025-02-25 14:16:23.256814,groceries,347.2,False,2025-02
900085,100190,2025-10-21 14:16:23.256815,electronics,1057.22,False,2025-10
900086,101770,2025-10-01 14:16:23.256817,electronics,3851.49,False,2025-10
900087,101773,2025-05-30 14:16:23.256818,dining,265.02,False,2025-05
900088,101751,2025-03-04 14:16:23.256825,travel,1686.27,False,2025-03
900089,100073,2025-10-17 14:16:23.256826,utilities,2528.12,False,2025-10
900090,100622,2025-03-25 14:16:23.256827,electronics,11553.32,False,2025-03
900091,101126,2025-08-14 14:16:23.256829,utilities,6498.72,False,2025-08
900092,100870,2025-10-30 14:16:23.256830,fuel,8694.93,False,2025-10
900093,100585,2025-09-21 14:16:23.256831,entertainment,6001.82,False,2025-09
900094,100419,2025-01-18 14:16:23.256833,entertainment,3113.04,False,2025-01
900095,100472,2025-04-01 14:16:23.256834,entertainment,6901.12,False,2025-04
900096,101787,2025-06-22 14:16:23.256835,electronics,2915.42,False,2025-06
900097,100113,2025-10-10 14:16:23.256836,groceries,1549.71,False,2025-10
900098,101402,2025-10-19 14:16:23.256838,entertainment,1630.16,False,2025-10
900099,101336,2025-02-19 14:16:23.256839,groceries,2917.15,False,2025-02
900100,100329,2025-04-13 14:16:23.256840,fuel,5802.25,False,2025-04
900101,100338,2025-07-02 14:16:23.256841,groceries,502.14,False,2025-07
900102,100237,2025-03-24 14:16:23.256843,electronics,140.2,False,2025-03
900103,101196,2024-12-19 14:16:23.256844,electronics,5455.08,False,2024-12
900104,100078,2025-08-28 14:16:23.256846,online shopping,3650.38,False,2025-08
900105,100463,2025-09-09 14:16:23.256847,entertainment,6027.37,False,2025-09
900106,101921,2025-05-17 14:16:23.256848,groceries,13154.03,False,2025-05
900107,100604,2025-08-27 14:16:23.256849,groceries,1013.4,False,2025-08
900108,101987,2025-09-12 14:16:23.256850,entertainment,756.12,False,2025-09
900109,101524,2025-02-14 14:16:23.256852,dining,1459.5,False,2025-02
900110,100561,2025-08-22 14:16:23.256853,entertainment,7361.99,False,2025-08
900111,100284,2025-11-12 14:16:23.256854,electronics,49.22,False,2025-11
900112,100222,2025-01-15 14:16:23.256856,groceries,37.06,False,2025-01
900113,100592,2024-12-24 14:16:23.256857,entertainment,855.22,False,2024-12
900114,101289,2025-03-03 14:16:23.256858,entertainment,1650.15,False,2025-03
