customer_id,spend_dining,spend_electronics,spend_entertainment,spend_fuel,spend_groceries,spend_online shopping,spend_travel,spend_utilities
100000,0.0,16459.68,0.0,1661.85,4925.66,3336.23,4719.65,0.0
100001,0.0,0.0,0.0,377.8,5308.23,0.0,0.0,3724.12
100002,210.72,0.0,9927.98,0.0,0.0,0.0,0.0,0.0
100003,0.0,0.0,9139.960000000001,0.0,780.3,0.0,0.0,4969.23
100004,6433.93,0.0,1107.17,0.0,313.89,206.92,0.0,213.42
100005,9348.11,0.0,0.0,429.57,0.0,0.0,6794.03,0.0
100006,0.0,0.0,0.0,2583.05,0.0,13119.650000000001,0.0,6385.530000000001
100007,0.0,6993.34,8556.97,0.0,0.0,0.0,0.0,365.91
100008,0.0,0.0,7993.57,8199.65,1201.62,1228.7,9789.95,0.0
100009,0.0,0.0,0.0,0.0,3243.17,14400.81,782.51,1072.03
100010,0.0,0.0,13400.27,0.0,0.0,0.0,0.0,0.0
100011,0.0,7670.66,1470.08,2775.19,0.0,59.67,0.0,270.99
100012,0.0,0.0,0.0,0.0,1729.28,9186.09,0.0,0.0
100013,0.0,0.0,0.0,1807.83,0.0,15396.31,5696.9,0.0
100014,0.0,0.0,10418.14,9345.71,1305.88,0.0,0.0,5429.88
100015,0.0,0.0,0.0,3095.8999999999996,4887.25,3238.1099999999997,9157.08,9229.04
100016,9216.47,710.03,3118.72,4621.13,8261.48,550.12,8087.1,3282.49
100017,0.0,0.0,4183.04,0.0,19944.16,319.1,0.0,6613.97
100018,6992.69,5974.47,1263.77,3456.62,7749.3,0.0,0.0,0.0
100019,0.0,0.0,0.0,0.0,1445.12,0.0,94.17,0.0
100020,21637.39,2238.19,0.0,0.0,752.15,0.0,3083.9700000000003,0.0
100021,6315.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100022,0.0,2556.87,1697.63,0.0,9028.3,0.0,2662.44,0.0
100023,245.06,0.0,11049.46,3091.28,4935.43,175.51,956.49,0.0
100024,0.0,10870.75,4678.68,1407.17,0.0,0.0,115.73,5265.88
100025,0.0,0.0,2324.42,0.0,0.0,0.0,3599.03,0.0
100026,9651.48,0.0,1878.88,2233.8,5404.45,0.0,1043.11,0.0
100027,13494.439999999999,0.0,7789.45,0.0,22848.85,14018.03,0.0,2813.99
100028,5755.68,13037.779999999999,0.0,0.0,6492.3,11422.97,0.0,5925.83
100029,154.1,0.0,8896.84,0.0,0.0,0.0,0.0,12757.279999999999
100030,942.3900000000001,2036.54,1401.4,2475.39,1170.52,0.0,7085.95,0.0
100031,4196.6,0.0,1862.5,0.0,1915.64,4703.74,0.0,4341.32
100032,0.0,3971.47,6726.8099999999995,0.0,0.0,7415.12,0.0,2574.01
100033,0.0,5045.93,2649.39,0.0,3611.15,0.0,0.0,6182.860000000001
100034,0.0,0.0,0.0,64.68,0.0,16872.65,336.86,0.0
100035,7138.549999999999,0.0,4613.51,0.0,6692.21,0.0,0.0,169.55
100036,0.0,4562.92,0.0,0.0,0.0,0.0,0.0,0.0
100037,0.0,0.0,5288.29,0.0,0.0,0.0,2207.67,10252.070000000002
100038,0.0,0.0,791.04,0.0,141.08,2652.14,11.88,0.0
100039,0.0,3014.11,0.0,0.0,2968.7799999999997,0.0,8087.95,0.0
100040,0.0,0.0,5946.01,882.66,5320.58,15246.63,2583.27,0.0
100041,17365.57,39.14,6661.63,0.0,2364.49,0.0,0.0,5258.12
